name	group
Cyo_KPL2619	C.yonathiae
Cyo_c21Ua_68	C.yonathiae
Cyo_MSK136	C.yonathiae
Ctu_SK141	C.tuberculostearicum
Ctu_DSM_44922	C.tuberculostearicum
Ctu_MSK207	C.tuberculostearicum
Ctu_KPL3807	C.tuberculostearicum
Cmq_c19Ua_121	C.marquesiae
Cmq_MSK144	C.marquesiae
Cmq_KPL4083	C.marquesiae
Cau_620_CAUR	C.aurimucosum
Cha_CTNIH22	C.hallux
Cha_CTNIH20	C.hallux
Cha_CTNIH21	C.hallux
Cha_CTNIH23	C.hallux
Ccu_c8Ua_181	C.curieae
Ccu_CTNIH19	C.curieae
Cke_CTNIH24	C.nasorum
Cke_CTNIH27	C.nasorum
Cke_EYE_437	C.nasorum
Cke_FDAARGOS_1055	C.nasorum
Cke_LK1134	C.nasorum
Cna_KPL2825	C.nasorum
Cna_KPL3649	C.nasorum
Cna_KPL3804	C.nasorum
Cna_KPL4035	C.nasorum
Cna_KPL4072	C.nasorum
Cna_MSK071	C.nasorum
Cna_MSK185	C.nasorum
Cna_MSK194	C.nasorum
Cac_ATCC_49725	C.accolens
Cma_CCUG_32361	C.macginleyi
